time,px,py,pz,pvx,pvy,pvz,pv_mag,d_p,age,alpha_air_mean,alpha_air_max,bubble_cx,bubble_cy,bubble_cells,alpha_oil_mean,alpha_oil_max,alpha_water_mean,alpha_water_max,bubble_vy,dist_to_bubble_center,in_bubble,v_rel
0.066,0.0151525,0.0308562,0.0005,-0.049899,0.0450297,0.0,0.0672129755559892,0.0003,,0.026346659061538057,1.0,0.025020181634712414,0.02541500168180289,1982,0.020213332948502152,1.0,0.953440008261836,1.0,0.24281161729308476,0.011268441772578483,0,0.19778191729308475
0.068,0.0150507,0.0309559,0.0005,-0.0592776,0.0622219,0.0,0.08593834244020535,0.0003,,0.0263466588985805,1.0,0.025316878172588833,0.02588236886632826,1970,0.020213332866676495,1.0,0.9534400084557175,1.0,0.22354770042281658,0.01145142490852889,0,0.16132580042281658
0.07,0.0149217,0.0311147,0.0005,-0.0706386,0.0974474,0.0,0.12035700053058816,0.0003,,0.026346658928064797,1.0,0.02517997714575927,0.02630919248349416,1969,0.02021333282195032,1.0,0.9534400084612462,1.0,0.2026401066502599,0.011328069230473525,0,0.10519270665025988
0.072,0.0147741,0.0313141,0.0005,-0.0738675,0.0966559,0.0,0.12165019753810513,0.0003,,0.02634665880140975,1.0,0.02521590909090909,0.026692929292929293,1980,0.02021333122415611,1.0,0.9534400100978114,1.0,0.1834366280310773,0.011418695012779704,0,0.0867807280310773
0.074,0.014653,0.0314888,0.0005,-0.0437599,0.0798613,0.0,0.09106457096862643,0.0003,,0.02634665885957278,1.0,0.025404196157735086,0.02704293899561847,1978,0.02021264178416002,1.0,0.9534406996320596,1.0,0.17117824587336905,0.011634169454343443,0,0.09131694587336905
0.076,0.0145672,0.0317093,0.0005,-0.0394865,0.143138,0.0,0.14848458076935125,0.0003,,0.026346658797272025,1.0,0.02534845020325203,0.027377642276422767,1968,0.02021201590476143,1.0,0.9534413253203575,1.0,0.15782299189215454,0.01161889041945694,0,0.014684991892154553
0.078,0.014477,0.0319962,0.0005,-0.0715185,0.144471,0.0,0.1612041118683081,0.0003,,0.02634665870820858,1.0,0.025493003025718608,0.02767423096318709,1983,0.020210226690809487,1.0,0.9534431146744166,1.0,0.14881463785494375,0.011833500708489058,0,0.004343637854943766
0.08,0.0143261,0.0323176,0.0005,-0.0587355,0.168509,0.0,0.17845207211251427,0.0003,,0.02634665883296515,1.0,0.025248289406994424,0.027972900827842543,1973,0.020205543250991193,1.0,0.9534477981860121,1.0,0.14770365737951963,0.011754600475507746,0,0.020805342620480366
0.082,0.0141594,0.0326649,0.0005,-0.112727,0.173652,0.0,0.2070323492428176,0.0003,,0.026346658674403098,1.0,0.025350050658561298,0.02826504559270517,1974,0.020205030517776595,1.0,0.9534483109915076,1.0,0.1442769027440054,0.012024532463565897,0,0.029375097255994603
0.084,0.0139128,0.0330246,0.0005,-0.130414,0.170162,0.0,0.2143896397683433,0.0003,,0.026346658738281757,1.0,0.02541740506329114,0.028550008438818567,1975,0.020204961750174725,1.0,0.9534483798381921,1.0,0.14192425583214874,0.012344144656544667,0,0.02823774416785127
0.086,0.013688,0.0334107,0.0005,-0.0949566,0.182393,0.0,0.2056306454120105,0.0003,,0.02634665871467597,1.0,0.025508670886075953,0.02883274261603376,1975,0.020203860759498767,1.0,0.9534494808062651,1.0,0.14180238563038827,0.01267619635404622,0,0.04059061436961173
0.088,0.0135582,0.0337431,0.0005,-0.0558042,0.13176,0.0,0.14309020349989024,0.0003,,0.02634665856514461,1.0,0.025591157760814248,0.02911721798134012,1965,0.02020160278663679,1.0,0.953451738989068,1.0,0.13552964129696132,0.012891503284105413,0,0.0037696412969613347
0.09,0.0134072,0.0339578,0.0005,-0.113614,0.125768,0.0,0.16948666856127653,0.0003,,0.02634665646227687,1.0,0.025733278647147906,0.029374861181221606,1981,0.020195496093181546,1.0,0.9534578479382404,1.0,0.13200955844477757,0.013150495923437318,0,0.006241558444777584
0.092,0.013172,0.0341904,0.0005,-0.119266,0.0801516,0.0,0.14369640823124286,0.0003,,0.02634665655350472,1.0,0.0257574200913242,0.02964525621511923,1971,0.020186156333561547,1.0,0.9534671874839591,1.0,0.12754441425218133,0.013380998875283831,0,0.04739281425218132
0.094,0.0129051,0.0342718,0.0005,-0.134867,0.0125544,0.0,0.1354500669928221,0.0003,,0.026346656389277644,1.0,0.025769756838905776,0.02988503883823033,1974,0.020182237583824543,1.0,0.9534711062540546,1.0,0.12159861658869353,0.01359202225841379,0,0.10904421658869354
0.096,0.0126727,0.034307,0.0005,-0.103978,0.00762284,0.0,0.10425704855627556,0.0003,,0.026346656307888183,1.0,0.02587007824331146,0.030131650681474005,1981,0.020172820919645396,1.0,0.9534805231015904,1.0,0.11804591639274697,0.013842121745915476,0,0.11042307639274697
0.098,0.0124924,0.0343573,0.0005,-0.0836552,0.048285,0.0,0.09659002905082906,0.0003,,0.026346655795318807,1.0,0.025817853522554488,0.03035722250380132,1973,0.02015492261661526,1.0,0.9534984218861262,1.0,0.1164556974940556,0.01391288365355489,0,0.0681706974940556
0.1,0.0123597,0.0345168,0.0005,-0.0633204,0.0730669,0.0,0.09668632236138677,0.0003,,0.02634665564245333,1.0,0.025724545224861044,0.03059747347145023,1979,0.020126281463950485,1.0,0.9535270633105072,1.0,0.11826630741665767,0.013927677779223826,0,0.045199407416657664
0.102,0.0121233,0.034617,0.0005,-0.15351,0.0592104,0.0,0.16453325368496183,0.0003,,0.02634665553933865,1.0,0.025711446239273093,0.030830287733467947,1981,0.020061378379316593,1.0,0.9535919665300994,1.0,0.11679196969018513,0.014105917482013562,0,0.05758156969018512
0.104,0.0117547,0.0348022,0.0005,-0.193176,0.132843,0.0,0.2344445128916435,0.0003,,0.02634665540090502,1.0,0.025716772151898735,0.031064641350210972,1975,0.02001099984321211,1.0,0.953642345222144,1.0,0.11220606865117766,0.014453677851517204,0,0.02063693134882233
0.106,0.0114056,0.0349826,0.0005,-0.184476,0.0538725,0.0,0.19218127076343833,0.0003,,0.026346655189139964,1.0,0.025433022199798185,0.03127911200807266,1982,0.019964155686358172,1.0,0.953689189537938,1.0,0.10111484838370188,0.0145080803994788,0,0.047242348383701886
0.108,0.0110789,0.035088,0.0005,-0.147675,0.0419924,0.0,0.15352936944689116,0.0003,,0.026346653723754585,1.0,0.02531224645030426,0.03146910074374578,1972,0.0199208517464821,1.0,0.9537324948088484,1.0,0.09073235674888824,0.014686203832212946,0,0.048739956748888244
0.11,0.0107916,0.0351371,0.0005,-0.117884,0.000599425,0.0,0.11788552398971905,0.0003,,0.026346653467773068,1.0,0.025053625568468924,0.03164204143506821,1979,0.01988182944675981,1.0,0.9537715173063144,1.0,0.07493129179634739,0.014684032405574579,0,0.07433186679634739
0.112,0.010618,0.0351167,0.0005,-0.0459829,0.000278138,0.0,0.04598374118269461,0.0003,,0.026346653234851705,1.0,0.025123987854251014,0.03176882591093117,1976,0.019854407804900668,1.0,0.9537989391700229,1.0,0.05743835918166518,0.014887308169845091,0,0.05716022118166518
0.114,0.0105725,0.0351573,0.0005,-0.0145909,0.0348656,0.0,0.03779556093207243,0.0003,,0.026346653163141383,1.0,0.025292004048582995,0.031871794871794874,1976,0.019827270209043443,1.0,0.9538260769381149,1.0,0.04859230892039257,0.015081722162396222,0,0.013726708920392572
0.116,0.0105389,0.0352213,0.0005,-0.0241881,0.0325591,0.0,0.04056056181095129,0.0003,,0.02634665304625215,1.0,0.025193882709807887,0.03196319514661274,1978,0.019813406149175056,1.0,0.9538399411949959,1.0,0.045219381865816644,0.015012786731997284,0,0.012660281865816643
0.118,0.0104762,0.0352793,0.0005,-0.0429071,0.0253345,0.0,0.04982826628190067,0.0003,,0.02634665291729329,1.0,0.025201504805260497,0.03205267239925814,1977,0.019793737152461622,1.0,0.9538596102769437,1.0,0.048233417022417235,0.015074671713894703,0,0.022898917022417236
0.12,0.0103731,0.035356,0.0005,-0.0469488,0.0692463,0.0,0.08366145997488927,0.0003,,0.026346652731664925,1.0,0.02498754425897825,0.032156128814702416,1977,0.019781255990989538,1.0,0.953872091565152,1.0,0.053110773899849306,0.014960653615443412,0,0.01613552610015069
0.122,0.0103141,0.0355161,0.0005,-0.00769273,0.110031,0.0,0.11029958774108316,0.0003,,0.02634665270607981,1.0,0.024818727870510877,0.032265115494857534,1977,0.019750493044499474,1.0,0.9539028546377394,1.0,0.0540828257114665,0.014864492252165134,0,0.055948174288533506
0.124,0.0102858,0.0357099,0.0005,-0.00296451,0.081482,0.0,0.08153591014724801,0.0003,,0.02634665255552825,1.0,0.025080919395465993,0.03237246011754828,1985,0.019730995193913515,1.0,0.9539223525668599,1.0,0.05602183264283056,0.015166873866920415,0,0.02546016735716944
0.126,0.0103004,0.0358401,0.0005,-0.00103357,0.0484137,0.0,0.04842473143585723,0.0003,,0.026346652353325364,1.0,0.025076690211907164,0.03248920282542886,1982,0.01970317134981487,1.0,0.9539501766133132,1.0,0.056741219555936695,0.015151477297645016,0,0.008327519555936698
0.128,0.0102752,0.0359049,0.0005,-0.0122547,0.0274155,0.0,0.030029773764382574,0.0003,,0.02634665230632686,1.0,0.02494095636732623,0.03259942499577203,1971,0.019684317528343886,1.0,0.9539690306145548,1.0,0.05402925997275254,0.015033648087850989,0,0.026613759972752542
0.13,0.0102761,0.0359791,0.0005,0.00161973,0.0407742,0.0,0.04080635870685964,0.0003,,0.0263466522076185,1.0,0.024740530303030306,0.03270531986531987,1980,0.01965907677799898,1.0,0.9539942715649135,1.0,0.05169570787210631,0.014830285916375573,0,0.010921507872106315
0.132,0.0102527,0.036063,0.0005,-0.0228979,0.0364304,0.0,0.04302891897979776,0.0003,,0.026346652104181953,1.0,0.024836918016194334,0.03280620782726046,1976,0.01964645341267859,1.0,0.9540068948980879,1.0,0.05159978713170155,0.014943430342471736,0,0.015169387131701545
0.134,0.0102363,0.0361078,0.0005,0.00114311,0.0180859,0.0,0.018121988833516588,0.0003,,0.02634665193491823,1.0,0.024863981762917934,0.03291171901384667,1974,0.01963044074126169,1.0,0.9540229078240203,1.0,0.048498497271666,0.014972775541871078,0,0.030412597271666
0.136,0.0102333,0.036154,0.0005,-0.010901,0.0231349,0.0,0.02557450681850972,0.0003,,0.02634665174700533,1.0,0.024756432896064582,0.03300020181634712,1982,0.019618109088683285,1.0,0.9540352395278049,1.0,0.04095913542722052,0.01486162279496978,0,0.017824235427220517
0.138,0.0102222,0.0361996,0.0005,-0.00953312,0.024422,0.0,0.026216682874353116,0.0003,,0.026346651500047016,1.0,0.02484229797979798,0.03307555555555556,1980,0.019609287621045364,1.0,0.9540440612774804,1.0,0.03720444787400545,0.014950147779529042,0,0.012782447874005454
0.14,0.0102083,0.036243,0.0005,-0.0109238,0.0182236,0.0,0.02124685867134245,0.0003,,0.026346651298431785,1.0,0.024929006085192697,0.03314901960784314,1972,0.019597671768310693,1.0,0.9540556773933734,1.0,0.03262092490074586,0.015042336996413835,0,0.014397324900745863
0.142,0.0101864,0.0362788,0.0005,0.000469829,0.0203559,0.0,0.0203613212758711,0.0003,,0.026346649096350747,1.0,0.024846313537996982,0.03320603925515853,1987,0.01958299442978189,1.0,0.9540703567321568,1.0,0.03339525805268906,0.014978482017099927,0,0.013039358052689059
0.144,0.0101934,0.0363027,0.0005,-0.0037849,0.00270482,0.0,0.004652044630310419,0.0003,,0.02634664607465833,1.0,0.0249627968671046,0.0332826006400539,1979,0.019573423135052708,1.0,0.954079931163347,1.0,0.033962647049174066,0.015075015222612082,0,0.03125782704917407
0.146,0.0101782,0.0363115,0.0005,-0.0170323,0.00929943,0.0,0.019405634274996014,0.0003,,0.026346645446489656,1.0,0.025108072258716523,0.03334188984335523,1979,0.019558252231594547,1.0,0.9540951025309804,1.0,0.02435744262210804,0.01522234115187414,0,0.01505801262210804
0.148,0.0101353,0.0363555,0.0005,-0.0317681,0.0241871,0.0,0.03992778461197165,0.0003,,0.026346645156518043,1.0,0.02523587176887988,0.03338003041054233,1973,0.01952994011317676,1.0,0.9541234150868445,1.0,0.019479291319647984,0.01539092872522251,0,0.004707808680352015
0.15,0.0100649,0.0363774,0.0005,-0.028926,-0.00681002,0.0,0.029716827697457884,0.0003,,0.026346644872557924,1.0,0.02519673692229558,0.033419807008633826,1969,0.01951173482214328,1.0,0.9541416206929425,1.0,0.020917199252801666,0.015418166069462544,0,0.027727219252801666
0.152,0.0100166,0.0363713,0.0005,-0.0160537,0.0218156,0.0,0.02708582077489992,0.0003,,0.026346644602335823,1.0,0.02539042741527567,0.033463699207553536,1977,0.01949686428700359,1.0,0.9541564913073824,1.0,0.021065125478674673,0.015646364170724045,0,0.0007504745213253276
0.154,0.0099749,0.03646,0.0005,-0.0197731,0.0438996,0.0,0.04814717399567704,0.0003,,0.026346644543068988,1.0,0.025439050632911395,0.033504067510548526,1975,0.019481864728187973,1.0,0.9541714910221482,1.0,0.023661696001910926,0.01574412562448511,0,0.02023790399808907
0.156,0.0099304,0.036545,0.0005,-0.0344336,0.0514574,0.0,0.06191556204800212,0.0003,,0.026346638824417946,1.0,0.025486772151898734,0.033558345991561184,1975,0.019472756129109692,1.0,0.9541806053108918,1.0,0.0305352530686136,0.01584048031767011,0,0.0209221469313864
0.158,0.009832,0.0366103,0.0005,-0.0456049,0.0221325,0.0,0.050691759293399946,0.0003,,0.02634663866201943,1.0,0.025614514906518445,0.03362620852282298,1979,0.019460243654111146,1.0,0.9541931179430099,1.0,0.04549679337674206,0.01606214738814949,0,0.023364293376742062
0.16,0.00975118,0.0366415,0.0005,-0.0319334,0.0138435,0.0,0.034804949760199336,0.0003,,0.02634663839283459,1.0,0.02569857395254922,0.03374033316506815,1981,0.019450968259838063,1.0,0.9542023936825733,1.0,0.05789455614255701,0.016209137635355923,0,0.044051056142557006
